,station,start_date,end_date,tree_size,nmbr_trees,shingle_size,cod_threshold,mcc,calc_nmbr,phase,r_time,a_type
551,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,15000,100,1,590,0.2181087539999909,46823956,3,298.8276575644811,StationDif
552,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,15000,100,3,350,0.09063595331356013,51869713,3,317.2084417581558,StationDif
553,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,15000,200,1,590,0.0,54468650,2,661.7797743956248,SeasDif
554,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,15000,100,5,330,0.07526334717889863,96951059,3,338.07157528003063,StationDif
555,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,5000,150,5,70,0.03170023759045252,94810599,3,132.3295490225156,StationDif
556,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,15000,200,3,590,0.0,24341571,2,700.3493818481762,SeasDif
557,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,15000,200,5,590,0.0,43599387,2,719.5073950012525,SeasDif
558,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,10000,150,1,230,0.10576633138164802,54364361,3,241.6542060693105,StationDif
559,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,10000,150,3,180,0.06067561166355283,66991399,3,258.0325440009435,StationDif
560,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,20000,100,1,590,0.17135704039845473,8562142,3,483.1248947302501,StationDif
561,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,10000,150,5,270,0.0710795042073828,65096278,3,270.1116455078125,StationDif
562,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,20000,100,3,320,0.0768288915150321,96907563,3,487.43445283571884,StationDif
563,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,5000,200,1,210,0.11158236867892704,22206279,3,153.79136360883712,StationDif
564,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,20000,100,5,530,0.09828134767579692,52852897,3,489.22647216320036,StationDif
565,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,5000,200,3,110,0.049881840077759226,90079520,3,174.7149144609769,StationDif
566,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,5000,200,5,80,0.03482369012524942,28800364,3,181.8545013546944,StationDif
567,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,20000,200,1,590,0.0,5730372,2,1027.3630183299383,SeasDif
568,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,15000,150,1,590,0.17947054749834254,37991645,3,475.44561306238177,StationDif
569,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,20000,200,3,590,0.0,98728931,2,1067.6863869309425,SeasDif
570,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,15000,150,3,320,0.0854593986845766,11157684,3,520.3870707551638,StationDif
571,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,10000,200,1,330,0.14124800883552305,78664919,3,343.28999075492226,StationDif
572,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,15000,150,5,330,0.07753005282410873,28165049,3,530.0920410593351,StationDif
573,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,10000,200,3,210,0.06541575329552339,45667726,3,371.99845335483553,StationDif
574,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,,5000,100,1,590,0.0,11629372,1,74.80833679437637,StationDif
575,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,20000,200,5,590,0.0,37329256,2,1060.586175751686,SeasDif
576,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,,5000,100,3,590,0.0,49551619,1,87.83344283103943,StationDif
577,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,,5000,100,5,590,0.0,14213880,1,91.1103244026502,StationDif
578,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,10000,200,5,170,0.05283039973692832,55590510,3,395.45955642064416,StationDif
579,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,20000,150,1,580,0.17947054749834254,99372068,3,632.3771184722582,StationDif
580,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,,10000,100,1,590,0.0,76849223,1,154.36486571232481,StationDif
581,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,,10000,100,3,590,0.0,74520946,1,174.51989330848062,StationDif
