,station,start_date,tree_size,number_of_trees,shingle_size,anomaly_score_threshold,mathews_correlation_coefficient,runtime,accuracy
117,NW00000000000000BISMARKSTRNV00993,2017-07-22 00:00:00,15000,100,1,590,0.312058425182923,138.845816361904,0.9982000899955
118,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,5000,100,1,50,0.317747094576046,22.0663937926292,0.980850957452127
119,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,5000,200,1,50,0.325123343246218,46.5979881326358,0.978101094945253
120,NW00000000000000BISMARKSTRNV00993,2017-07-22 00:00:00,5000,150,1,590,0.333066519876535,47.6174740552902,0.998400079996
121,NW00000000000000BISMARKSTRNV00993,2017-07-22 00:00:00,5000,100,1,590,0.333066519876535,31.2017908334732,0.998450077496125
122,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,10000,200,5,100,0.390961251189087,364.106760545572,0.985000749962502
123,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,10000,200,3,50,0.394768712336407,352.462495191892,0.977551122443878
124,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,10000,100,3,50,0.400454816924903,171.236799637477,0.970001499925004
125,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,10000,150,3,90,0.410000273132662,252.766463208199,0.984600769961502
126,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,10000,150,5,100,0.415825315506503,262.38418186903,0.985000749962502
127,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,10000,100,5,110,0.425350356875862,174.307106904189,0.985850707464627
128,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,10000,150,1,90,0.425584738665049,71.3518774271011,0.986850657467127
129,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,15000,150,1,120,0.4280275898313,132.084760944049,0.987450627468627
130,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,10000,200,1,90,0.441366256632662,103.266878215472,0.988100594970252
131,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,15000,100,5,110,0.450027579496275,295.55445291996,0.984450777461127
132,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,20000,100,1,170,0.452040477005493,136.859537112713,0.988650567471626
133,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,15000,150,5,80,0.454574291724741,518.744343984127,0.977451127443628
134,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,15000,200,1,150,0.461080467013213,174.631523132324,0.990200489975501
135,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,15000,100,3,70,0.461771631447818,330.855908163389,0.977601119944003
136,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,15000,200,3,70,0.464702029685227,683.182556382815,0.977951102444878
137,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,15000,200,5,130,0.468470543122231,701.214816506704,0.987850607469626
138,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,10000,100,1,80,0.472272941426736,46.5920890728633,0.986400679966001
139,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,15000,100,1,140,0.474875908849243,86.7177473028501,0.989750512474376
140,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,20000,150,5,100,0.477897780616639,696.554215574265,0.981850907454627
141,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,20000,100,5,130,0.478097060457882,513.138531442483,0.984550772461377
142,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,15000,150,3,80,0.48093248935557,510.533825345834,0.980100994950252
143,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,20000,150,1,120,0.481629237979461,218.600568890572,0.983400829958502
144,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,20000,100,3,90,0.491244835600658,482.215962688128,0.981450927453627
145,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,20000,200,5,110,0.494283205496631,1002.15850586891,0.981750912454377
146,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,20000,200,3,100,0.498107831668396,983.818752785524,0.982950852457377
147,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,20000,200,1,130,0.504510874862169,293.911136039098,0.987700614969251
148,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,20000,150,3,100,0.512894053495579,767.006951057911,0.983550822458877
